category,n_samples,precision,recall,f1,tp,fp,fn,tn,note
OVERALL,31,0.8824,0.9677,0.9231,30,4,1,30,threshold=0.01
over_permissive,11,0.7333,1.0,0.8462,11,4,0,30,✅ Sufficient samples
wrong_port,8,0.6364,0.875,0.7368,7,4,1,30,✅ Sufficient samples
intent_flip,5,0.5556,1.0,0.7143,5,4,0,30,⚠️ Moderate sample count
missing_constraint,4,0.5,1.0,0.6667,4,4,0,30,⚠️ Moderate sample count
scope_expansion,2,0.3333,1.0,0.5,2,4,0,30,⚠️ Only 1–3 samples — interpret with caution
wrong_protocol,1,0.2,1.0,0.3333,1,4,0,30,⚠️ Only 1–3 samples — interpret with caution
security_downgrade,0,,,,,,,,NO SAMPLES — needs data expansion
